identificador,país,mulher_casa_filhos,casa_realização,trab_homem_mulher,homem_domésticas,homem_cuidado,lavar_roupa,pequenos_reparos,doença_parentes,compras,limpeza,comida,horas_trab_dom,divisão_tar_dom,conflito_tar_dom,decisões_crianças,sobrecarga_tar_dom,stress_casa,cansaço_tar_dom,cansaço_dom_trab,concentração_trab,familia_satisfação,filhos_maiores,crianças_pequenas,idade,sexo,status_marital,anos_escolaridade,emprego_status,horas_trab,rendimento,renda_familiar,identidade_etnica
35000026,Brazil (BR),Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,"Usually me,PL:the woman",About equal o both together,About equal o both together,"Always me,PL:the woman","Always me,PL:the woman","Always me,PL:the woman",44,NA,Several times a week,NA,Strongly agree,Strongly agree,Never,Never,Never,Fairly satisfied,NA,NA,73,Female,"Marr,liv as mar",97,Retired,NA,240,475,NA
35000029,Brazil (BR),Disagree,Strongly agree,Agree,Disagree,Agree,"Always my spouse,partner,PL:the man","Usually me,PL:the woman","Usually my spouse,partner,PL:the man","Always my spouse,partner,PL:the man",Done by a third person,"Always my spouse,partner,PL:the man",96,I do much less than my fair share,"Less often, rarely",We decide together,Strongly agree,Strongly agree,Never,Never,Never,Fairly satisfied,2 children,NA,37,Male,"Marr,liv as mar",11,Employed-full time,36,800,1200,"Asia,other Asian"
35000030,Brazil (BR),Disagree,Strongly disagree,Disagree,Strongly agree,Strongly agree,"Always me,PL:the woman","Usually my spouse,partner,PL:the man",NA,"Always me,PL:the woman","Always me,PL:the woman","Always me,PL:the woman",56,I do much more than my fair share,"Less often, rarely",We decide together,Strongly agree,Disagree,Never,Never,Never,Fairly satisfied,1 child,1 child,26,Female,"Marr,liv as mar",4,"Housewife,home duties",NA,NA,430,"Other,mixed origin,one-non-swedish"
35000031,Brazil (BR),Strongly agree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,"Usually me,PL:the woman","Always me,PL:the woman","Always my spouse,partner,PL:the man",About equal o both together,"Usually my spouse,partner,PL:the man","Usually my spouse,partner,PL:the man",28,I do a bit less than my fair share,Never,"Sometimes me,sometimes spouse",Strongly agree,Strongly agree,Several times a week,Once or twice a year,Once or twice a year,Fairly satisfied,2 children,NA,44,Male,"Marr,liv as mar",3,Employed-full time,35,700,1000,"Black/African/Carribean,No-Spanish"
35000038,Brazil (BR),NA,Strongly agree,NA,Strongly agree,Strongly agree,"Always my spouse,partner,PL:the man","Always me,PL:the woman",About equal o both together,About equal o both together,About equal o both together,About equal o both together,7,I do roughly my fair share,Never,NA,Strongly agree,Strongly agree,Once or twice a year,Never,Never,Very satisfied,NA,NA,29,Male,"Marr,liv as mar",11,"Oth,not i labour force",NA,NA,NA,"Black/African/Carribean,No-Spanish"
35000040,Brazil (BR),Disagree,Strongly disagree,Strongly disagree,Agree,Strongly agree,Done by a third person,NA,"Always me,PL:the woman","Always me,PL:the woman",Done by a third person,Done by a third person,90,I do roughly my fair share,Never,We decide together,Strongly disagree,Strongly agree,Once or twice a year,Once or twice a year,Once or twice a year,Very satisfied,1 child,1 child,28,Female,"Marr,liv as mar",4,Employed-full time,NA,NA,NA,NA
35000042,Brazil (BR),Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,About equal o both together,About equal o both together,About equal o both together,About equal o both together,About equal o both together,About equal o both together,90,I do roughly my fair share,Never,We decide together,Strongly agree,Strongly agree,Several times a week,Never,Never,Very satisfied,NA,1 child,53,Female,"Marr,liv as mar",4,Employed-part time,90,240,NA,"Other,mixed origin,one-non-swedish"
35000046,Brazil (BR),Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,"Usually me,PL:the woman","Always my spouse,partner,PL:the man","Always me,PL:the woman",About equal o both together,"Usually me,PL:the woman","Always me,PL:the woman",28,I do a bit more than my fair share,"Less often, rarely",We decide together,Strongly agree,Strongly disagree,NA,NA,NA,Fairly satisfied,2 children,NA,41,Female,"Marr,liv as mar",15,Unemployed,NA,NA,NA,"Europe,White/European"
35000048,Brazil (BR),Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,"Always my spouse,partner,PL:the man","Always me,PL:the woman","Always my spouse,partner,PL:the man",About equal o both together,"Always my spouse,partner,PL:the man","Always my spouse,partner,PL:the man",NA,I do a bit less than my fair share,"Less often, rarely",We decide together,Strongly agree,Strongly agree,Once or twice a year,Never,Once or twice a year,Very satisfied,NA,1 child,37,Male,"Marr,liv as mar",14,Employed-part time,30,960,2160,"Other,mixed origin,one-non-swedish"
35000052,Brazil (BR),Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,"Always me,PL:the woman","Always my spouse,partner,PL:the man","Always me,PL:the woman","Always me,PL:the woman",Done by a third person,"Always me,PL:the woman",90,I do much more than my fair share,"Less often, rarely",Mostly me,Strongly agree,NA,NA,NA,NA,Very satisfied,2 children,1 child,44,Female,"Marr,liv as mar",3,Unemployed,NA,NA,360,"Other,mixed origin,one-non-swedish"
35000059,Brazil (BR),Strongly agree,Strongly disagree,Disagree,Strongly agree,Strongly agree,"Always my spouse,partner,PL:the man","Always me,PL:the woman","Always me,PL:the woman","Always my spouse,partner,PL:the man","Always my spouse,partner,PL:the man","Always my spouse,partner,PL:the man",90,I do a bit less than my fair share,"Less often, rarely",We decide together,Strongly agree,Strongly disagree,Never,Once or twice a year,Never,Fairly satisfied,NA,1 child,25,Male,"Marr,liv as mar",11,"Oth,not i labour force",NA,NA,NA,"Europe,White/European"
35000062,Brazil (BR),Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,"Always my spouse,partner,PL:the man","Always my spouse,partner,PL:the man","Always my spouse,partner,PL:the man","Always my spouse,partner,PL:the man","Always my spouse,partner,PL:the man","Always my spouse,partner,PL:the man",NA,NA,Several times a week,We decide together,Strongly agree,Strongly agree,Several times a month,Once or twice a year,Once or twice a year,Very satisfied,NA,NA,54,Male,"Marr,liv as mar",97,Unemployed,NA,NA,0,"Other,mixed origin,one-non-swedish"
35000069,Brazil (BR),Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,"Always my spouse,partner,PL:the man","Always me,PL:the woman","Always my spouse,partner,PL:the man","Always me,PL:the woman",About equal o both together,About equal o both together,14,I do roughly my fair share,"Less often, rarely","Sometimes me,sometimes spouse",Strongly agree,Strongly agree,Once or twice a year,Never,Never,Very satisfied,3 children,NA,46,Male,"Marr,liv as mar",5,Employed-full time,NA,500,500,"Other,mixed origin,one-non-swedish"
35000071,Brazil (BR),Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,"Always my spouse,partner,PL:the man","Always me,PL:the woman",About equal o both together,"Usually my spouse,partner,PL:the man","Always my spouse,partner,PL:the man","Always my spouse,partner,PL:the man",96,I do much less than my fair share,Several times a week,NA,Strongly agree,Strongly disagree,Once or twice a year,Once or twice a year,Never,Fairly satisfied,NA,NA,36,Male,"Marr,liv as mar",1,Employed-full time,48,240,240,"Black/African/Carribean,No-Spanish"
35000079,Brazil (BR),Agree,Disagree,Strongly disagree,Disagree,Strongly agree,"Always my spouse,partner,PL:the man","Usually me,PL:the woman",NA,"Always me,PL:the woman","Always my spouse,partner,PL:the man","Always my spouse,partner,PL:the man",3,I do roughly my fair share,Never,We decide together,Agree,Disagree,Several times a month,Several times a month,Several times a month,Fairly satisfied,1 child,1 child,36,Male,"Marr,liv as mar",3,Employed-full time,48,150,150,"Other,mixed origin,one-non-swedish"
35000080,Brazil (BR),Agree,Agree,Strongly disagree,Disagree,Disagree,"Usually my spouse,partner,PL:the man","Usually me,PL:the woman",NA,"Usually me,PL:the woman",Done by a third person,"Always my spouse,partner,PL:the man",96,NA,Never,We decide together,Strongly disagree,Strongly disagree,Several times a week,Never,Never,Fairly satisfied,2 children,2 children,47,Male,"Marr,liv as mar",1,Employed-part time,48,200,200,"Other,mixed origin,one-non-swedish"
35000083,Brazil (BR),Strongly agree,Strongly agree,Strongly disagree,Agree,Agree,Done by a third person,Done by a third person,Done by a third person,Done by a third person,Done by a third person,Done by a third person,96,NA,Never,We decide together,Strongly disagree,Strongly disagree,NA,NA,NA,Very satisfied,2 children,NA,53,Male,"Marr,liv as mar",3,Retired,NA,240,NA,"Other,mixed origin,one-non-swedish"
35000087,Brazil (BR),Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,"Always me,PL:the woman","Always me,PL:the woman","Always me,PL:the woman","Always me,PL:the woman","Always me,PL:the woman","Always me,PL:the woman",42,I do a bit more than my fair share,Never,We decide together,Strongly agree,Strongly agree,Several times a month,Several times a month,Several times a month,Very satisfied,1 child,NA,40,Female,"Marr,liv as mar",3,Employed-part time,42,240,NA,"Other,mixed origin,one-non-swedish"
35000088,Brazil (BR),Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,"Always my spouse,partner,PL:the man","Always my spouse,partner,PL:the man","Always my spouse,partner,PL:the man","Always my spouse,partner,PL:the man","Always my spouse,partner,PL:the man","Always my spouse,partner,PL:the man",96,NA,Never,We decide together,Strongly disagree,Strongly disagree,Several times a week,Never,Never,Very satisfied,3 children,1 child,49,Male,"Marr,liv as mar",5,Employed-full time,36,80,200,"Other,mixed origin,one-non-swedish"
35000094,Brazil (BR),NA,NA,NA,NA,NA,"Usually my spouse,partner,PL:the man","Usually my spouse,partner,PL:the man","Usually my spouse,partner,PL:the man","Usually my spouse,partner,PL:the man","Usually my spouse,partner,PL:the man","Usually my spouse,partner,PL:the man",96,NA,Never,We decide together,NA,NA,NA,NA,NA,Very satisfied,2 children,NA,64,Male,"Marr,liv as mar",1,"Housewife,home duties",NA,480,480,"Black/African/Carribean,No-Spanish"
35000096,Brazil (BR),Strongly agree,Strongly disagree,Strongly agree,Agree,Agree,"Always my spouse,partner,PL:the man","Always me,PL:the woman","Always my spouse,partner,PL:the man","Always my spouse,partner,PL:the man","Always my spouse,partner,PL:the man","Always my spouse,partner,PL:the man",5,I do roughly my fair share,Never,We decide together,Strongly disagree,Strongly agree,NA,NA,NA,Very satisfied,2 children,2 children,38,Male,"Marr,liv as mar",3,"Oth,not i labour force",NA,NA,95,"Black/African/Carribean,No-Spanish"
35000097,Brazil (BR),Disagree,Disagree,Strongly disagree,Strongly agree,Strongly agree,"Always me,PL:the woman",About equal o both together,NA,About equal o both together,"Always me,PL:the woman",About equal o both together,24,I do roughly my fair share,Never,We decide together,Neither agree nor disagree,Agree,NA,NA,NA,Fairly satisfied,2 children,NA,30,Female,"Marr,liv as mar",10,"Oth,not i labour force",NA,NA,300,"Other,mixed origin,one-non-swedish"
35000098,Brazil (BR),Agree,Disagree,Strongly disagree,Agree,Strongly agree,"Usually my spouse,partner,PL:the man","Always me,PL:the woman",About equal o both together,Done by a third person,"Always my spouse,partner,PL:the man",Done by a third person,2,I do a bit less than my fair share,"Less often, rarely",We decide together,Strongly agree,Strongly disagree,Never,Never,Never,Fairly satisfied,NA,1 child,29,Male,"Marr,liv as mar",11,"Oth,not i labour force",NA,NA,900,"Other,mixed origin,one-non-swedish"
35000099,Brazil (BR),Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,"Always my spouse,partner,PL:the man",About equal o both together,"Usually me,PL:the woman","Always me,PL:the woman","Always my spouse,partner,PL:the man","Always my spouse,partner,PL:the man",96,I do much less than my fair share,Never,Mostly me,Strongly agree,Strongly agree,NA,NA,NA,Very satisfied,NA,NA,65,Male,"Marr,liv as mar",3,Retired,NA,240,480,"Europe,White/European"
35000101,Brazil (BR),Strongly agree,Strongly agree,Strongly disagree,Agree,Strongly agree,"Always my spouse,partner,PL:the man","Always me,PL:the woman","Usually me,PL:the woman",About equal o both together,"Usually my spouse,partner,PL:the man","Usually my spouse,partner,PL:the man",7,I do roughly my fair share,Never,We decide together,Strongly agree,Agree,NA,NA,NA,Fairly satisfied,NA,1 child,31,Male,"Marr,liv as mar",5,"Oth,not i labour force",NA,NA,240,"Other,mixed origin,one-non-swedish"
35000105,Brazil (BR),Strongly agree,Agree,Strongly disagree,Neither agree nor disagree,Disagree,"Always me,PL:the woman","Usually my spouse,partner,PL:the man",NA,"Usually me,PL:the woman","Always me,PL:the woman","Always me,PL:the woman",NA,I do roughly my fair share,Several times a year,"Sometimes me,sometimes spouse",Agree,Agree,NA,NA,NA,Fairly satisfied,NA,1 child,35,Female,"Marr,liv as mar",11,"Housewife,home duties",NA,NA,400,"Black/African/Carribean,No-Spanish"
35000109,Brazil (BR),Strongly agree,Disagree,Strongly disagree,Agree,Agree,"Always me,PL:the woman","Usually my spouse,partner,PL:the man",Done by a third person,"Usually me,PL:the woman","Always me,PL:the woman","Always me,PL:the woman",25,I do a bit more than my fair share,"Less often, rarely",Mostly me,Disagree,Disagree,Several times a month,Once or twice a year,Once or twice a year,Fairly satisfied,2 children,NA,44,Female,"Marr,liv as mar",3,Retired,NA,200,440,"Black/African/Carribean,No-Spanish"
35000111,Brazil (BR),Neither agree nor disagree,Agree,Disagree,Disagree,Agree,"Always my spouse,partner,PL:the man","Always me,PL:the woman",Done by a third person,"Always my spouse,partner,PL:the man","Always my spouse,partner,PL:the man","Always my spouse,partner,PL:the man",96,I do a bit less than my fair share,Several times a week,"Sometimes me,sometimes spouse",Disagree,Disagree,NA,NA,NA,Very satisfied,1 child,NA,48,Male,"Marr,liv as mar",3,Retired,NA,600,600,"Black/African/Carribean,No-Spanish"
35000113,Brazil (BR),Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,"Always me,PL:the woman","Usually my spouse,partner,PL:the man",Done by a third person,"Always me,PL:the woman","Always me,PL:the woman","Always me,PL:the woman",NA,I do roughly my fair share,"Less often, rarely","Sometimes me,sometimes spouse",Strongly agree,Strongly agree,NA,NA,NA,Very satisfied,1 child,1 child,39,Female,"Marr,liv as mar",3,"Housewife,home duties",NA,60,300,"Other,mixed origin,one-non-swedish"
35000115,Brazil (BR),Strongly agree,Neither agree nor disagree,Strongly disagree,Strongly agree,Strongly agree,"Always me,PL:the woman","Usually me,PL:the woman","Usually me,PL:the woman","Always me,PL:the woman","Always me,PL:the woman","Always me,PL:the woman",30,I do much more than my fair share,Several times a month,Mostly me,Strongly agree,Strongly agree,NA,NA,NA,Very satisfied,2 children,NA,43,Female,"Marr,liv as mar",5,"Housewife,home duties",NA,240,400,"Other,mixed origin,one-non-swedish"
35000123,Brazil (BR),Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,"Always my spouse,partner,PL:the man","Always my spouse,partner,PL:the man",Done by a third person,"Always my spouse,partner,PL:the man","Always my spouse,partner,PL:the man","Always my spouse,partner,PL:the man",96,I do much less than my fair share,Never,"Mostly my spouse,partner",Strongly disagree,Strongly disagree,NA,NA,NA,Very satisfied,NA,NA,58,Male,"Marr,liv as mar",2,"Oth,not i labour force",NA,NA,240,"Other,mixed origin,one-non-swedish"
35000132,Brazil (BR),Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,"Always me,PL:the woman","Always me,PL:the woman","Always me,PL:the woman","Usually my spouse,partner,PL:the man","Always me,PL:the woman","Always me,PL:the woman",40,I do roughly my fair share,"Less often, rarely",We decide together,Strongly agree,Strongly agree,Once or twice a year,Once or twice a year,Once or twice a year,Fairly satisfied,NA,2 children,48,Female,"Marr,liv as mar",3,"Housewife,home duties",NA,NA,150,"Other,mixed origin,one-non-swedish"
35000133,Brazil (BR),Strongly agree,Strongly agree,Strongly agree,Disagree,Strongly agree,"Always my spouse,partner,PL:the man","Always me,PL:the woman",About equal o both together,"Usually my spouse,partner,PL:the man","Usually my spouse,partner,PL:the man",About equal o both together,96,I do much less than my fair share,"Less often, rarely",We decide together,Strongly disagree,Strongly disagree,Once or twice a year,Once or twice a year,Once or twice a year,Fairly satisfied,NA,NA,33,Male,"Marr,liv as mar",4,Employed-full time,40,150,300,"Other,mixed origin,one-non-swedish"
35000134,Brazil (BR),Strongly agree,Disagree,Strongly agree,Strongly agree,Agree,Done by a third person,"Usually my spouse,partner,PL:the man","Usually my spouse,partner,PL:the man","Usually my spouse,partner,PL:the man",Done by a third person,Done by a third person,96,NA,Never,We decide together,Strongly disagree,Strongly disagree,Never,Never,Never,Fairly satisfied,1 child,NA,55,Female,"Marr,liv as mar",3,Permanently disabled,NA,240,350,"Europe,White/European"
35000136,Brazil (BR),Strongly agree,Agree,Agree,Strongly agree,Strongly agree,"Always my spouse,partner,PL:the man","Usually me,PL:the woman","Usually me,PL:the woman","Always my spouse,partner,PL:the man","Always my spouse,partner,PL:the man","Always my spouse,partner,PL:the man",96,NA,Several times a month,"Mostly my spouse,partner",Neither agree nor disagree,Neither agree nor disagree,NA,NA,NA,Very satisfied,NA,NA,56,Male,"Marr,liv as mar",7,Retired,NA,400,400,"Black/African/Carribean,No-Spanish"
35000138,Brazil (BR),Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,"Always me,PL:the woman","Usually my spouse,partner,PL:the man",NA,"Usually my spouse,partner,PL:the man","Always me,PL:the woman","Always me,PL:the woman",35,I do roughly my fair share,Several times a year,"Sometimes me,sometimes spouse",Strongly agree,Strongly agree,Several times a week,Several times a week,Several times a month,Neither satisfied nor dissatisfied,1 child,NA,26,Female,"Marr,liv as mar",11,Employed-full time,40,240,440,"Black/African/Carribean,No-Spanish"
35000140,Brazil (BR),Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,"Always my spouse,partner,PL:the man","Always my spouse,partner,PL:the man","Usually my spouse,partner,PL:the man","Always my spouse,partner,PL:the man","Always my spouse,partner,PL:the man","Always my spouse,partner,PL:the man",7,I do much less than my fair share,Several times a year,"Sometimes me,sometimes spouse",Strongly agree,Strongly agree,Several times a month,Several times a month,Several times a month,Very satisfied,3 children,NA,42,Male,"Marr,liv as mar",11,Employed-part time,24,500,740,"Other,mixed origin,one-non-swedish"
35000141,Brazil (BR),Strongly agree,Strongly disagree,Neither agree nor disagree,Strongly disagree,Strongly agree,"Always me,PL:the woman","Usually my spouse,partner,PL:the man",NA,"Usually my spouse,partner,PL:the man","Always me,PL:the woman","Always me,PL:the woman",42,I do roughly my fair share,"Less often, rarely","Sometimes me,sometimes spouse",Disagree,Disagree,NA,NA,NA,Very satisfied,NA,1 child,24,Female,"Marr,liv as mar",1,"Oth,not i labour force",NA,NA,240,"Other,mixed origin,one-non-swedish"
35000142,Brazil (BR),Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Agree,"Always my spouse,partner,PL:the man","Usually me,PL:the woman",Done by a third person,"Always my spouse,partner,PL:the man","Always my spouse,partner,PL:the man","Always my spouse,partner,PL:the man",96,I do much less than my fair share,Several times a week,"Mostly my spouse,partner",Strongly disagree,Strongly disagree,NA,NA,NA,Very satisfied,2 children,1 child,33,Male,"Marr,liv as mar",4,"Oth,not i labour force",NA,150,150,"Europe,White/European"
35000149,Brazil (BR),Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,"Always me,PL:the woman","Always me,PL:the woman",About equal o both together,"Always me,PL:the woman",About equal o both together,"Always me,PL:the woman",NA,I do much more than my fair share,Several times a week,Mostly me,Strongly agree,Strongly disagree,Never,Never,Several times a week,Fairly satisfied,2 children,NA,34,Female,"Marr,liv as mar",8,"Housewife,home duties",NA,40,240,"Other,mixed origin,one-non-swedish"
35000150,Brazil (BR),Strongly agree,Strongly agree,Strongly agree,Agree,Disagree,"Always me,PL:the woman","Usually my spouse,partner,PL:the man","Usually my spouse,partner,PL:the man","Always me,PL:the woman","Always me,PL:the woman","Always me,PL:the woman",NA,I do much more than my fair share,"Less often, rarely",Mostly me,Strongly agree,Strongly disagree,Never,Never,Several times a week,Very satisfied,NA,1 child,48,Female,"Marr,liv as mar",1,"Housewife,home duties",NA,240,240,"Black/African/Carribean,No-Spanish"
35000155,Brazil (BR),Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,"Usually my spouse,partner,PL:the man","Always me,PL:the woman","Usually my spouse,partner,PL:the man","Always me,PL:the woman","Usually my spouse,partner,PL:the man","Usually my spouse,partner,PL:the man",5,I do roughly my fair share,Never,We decide together,NA,NA,NA,NA,NA,Fairly dissatisfied,6 children,2 children,42,Male,"Marr,liv as mar",5,Unemployed,NA,NA,240,"Other,mixed origin,one-non-swedish"
35000160,Brazil (BR),Strongly agree,Strongly agree,Strongly agree,Disagree,Disagree,"Always my spouse,partner,PL:the man","Always my spouse,partner,PL:the man","Always my spouse,partner,PL:the man","Always my spouse,partner,PL:the man","Always my spouse,partner,PL:the man","Always my spouse,partner,PL:the man",96,NA,NA,We decide together,Strongly disagree,Strongly disagree,Several times a week,Once or twice a year,Never,Very satisfied,2 children,NA,57,Male,"Marr,liv as mar",2,Employed-full time,24,150,150,"Other,mixed origin,one-non-swedish"
35000161,Brazil (BR),Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,"Always me,PL:the woman","Always me,PL:the woman","Always me,PL:the woman","Always me,PL:the woman","Always me,PL:the woman","Always me,PL:the woman",40,I do roughly my fair share,Never,We decide together,Strongly agree,Strongly disagree,NA,NA,NA,Very satisfied,3 children,NA,42,Female,"Marr,liv as mar",1,"Housewife,home duties",NA,NA,200,"Other,mixed origin,one-non-swedish"
35000163,Brazil (BR),Disagree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,"Always my spouse,partner,PL:the man","Always my spouse,partner,PL:the man","Always my spouse,partner,PL:the man","Always my spouse,partner,PL:the man","Always my spouse,partner,PL:the man","Always my spouse,partner,PL:the man",96,NA,Never,We decide together,Strongly disagree,Strongly disagree,Several times a week,Several times a week,Once or twice a year,Very satisfied,3 children,1 child,47,Male,"Marr,liv as mar",1,Employed-full time,NA,180,230,"Other,mixed origin,one-non-swedish"
35000168,Brazil (BR),Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,"Always me,PL:the woman","Always me,PL:the woman","Always me,PL:the woman","Always me,PL:the woman","Always me,PL:the woman","Always me,PL:the woman",21,I do a bit more than my fair share,"Less often, rarely",NA,Strongly disagree,Strongly disagree,NA,NA,NA,Fairly dissatisfied,1 child,NA,28,Female,"Marr,liv as mar",4,"Housewife,home duties",NA,400,600,"Asia,other Asian"
35000173,Brazil (BR),NA,Strongly disagree,Agree,Strongly agree,Strongly agree,About equal o both together,"Usually me,PL:the woman",About equal o both together,About equal o both together,About equal o both together,"Usually me,PL:the woman",96,I do roughly my fair share,"Less often, rarely",NA,Agree,Agree,Several times a month,Once or twice a year,Once or twice a year,Fairly satisfied,NA,NA,41,Male,"Marr,liv as mar",2,Employed-full time,70,500,500,"Black/African/Carribean,No-Spanish"
