v1,v2,v3,COUNTRY,C_ALPHAN,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41,v42,v43,v44,v45,v46,v47,v48,v49,v50,v51,v52,v53,v54,v55,v56,v57,v58,v59,v60,v61,v62,v63,v64,v65,v66,v67,v68,v69,v70,v71,v200,v201,v202,v203,v204,v205,v206,v207,v208,v209,v210,v211,v212,v213,v214,v215,v216,v217,v218,v219,v220,v221,v222,v223,v224,v225,v226,v227,v228,v229,v230,v231,v232,v233,v234,v235,v236,v237,v238,v239,v240,v241,v242,v243,v244,v245,v246,v247,v248,v249,v250,v251,v252,v253,v254,v255,v256,v257,v258,v259,v260,v261,v262,v263,v264,v265,v266,v267,v268,v269,v270,v271,v272,v273,v274,v275,v276,v277,v278,v279,v280,v281,v282,v283,v284,v285,v286,v287,v288,v289,v290,v291,v292,v293,v294,v295,v296,v297,v298,v299,v300,v301,v302,v303,v304,v305,v306,v307,v308,v309,v310,v311,v312,v313,v314,v315,v316,v317,v318,v319,v320,v321,v322,v323,v324,v325,v326,v327,v328,v329,v330,v331,v332,v333,v334,v335,v336,v337,v338,v339,v340,v341,v342,v343,v344,v345,v346,v347,v348,v349,v350,v351,v352,v353,v354,v355,v356,v357,v358,v359,v360,v361
GESIS Data Archive Study Number,1.1.0 (2013-03-04),35000215,Brazil (BR),BR,Strongly disagree,Strongly agree,Strongly agree,Agree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Work full-time,Work part-time,Work part-time,Work full-time,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,We pool all the money,"Usually my spouse,partner,PL:the man","Always me,PL:the woman","Always me,PL:the woman",About equal o both together,About equal o both together,About equal o both together,8,40,I do a bit less than my fair share,"Less often, rarely",We decide together,Mostly me,"Mostly my spouse,partner",I have a higher income,Strongly disagree,Disagree,Strongly disagree,Neither agree nor disagree,Never,Never,Never,Never,Very happy,NA,Fairly satisfied,No,Worked full-time,Worked full-time,Worked full-time,Worked full-time,Stayed home,Stayed home,Stayed home,Stayed home,Work full-time,2 persons,1 child,1 child,4,1,No formal qualification,NA,Male,55,"Marr,liv as mar",NA,3,No formal qualification,NA,NA,NA,Incomplete primary,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Oth,not i labour force",NA,NA,NA,NA,NA,NA,"Housewife,home duties",NA,NA,NA,240,4,NA,Far left etc,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pentecostal,Protestant,Once a week,NA,NA,NA,NA,North East,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Country village,"Other,mixed origin,one-non-swedish",NA,1
GESIS Data Archive Study Number,1.1.0 (2013-03-04),35000220,Brazil (BR),BR,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Disagree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Work part-time,Work part-time,Work part-time,Work part-time,Agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,We pool all the money,"Always me,PL:the woman","Always my spouse,partner,PL:the man",About equal o both together,"Always me,PL:the woman","Always me,PL:the woman","Always me,PL:the woman",57,96,I do a bit more than my fair share,"Less often, rarely",We decide together,We decide together,We decide together,Spouse has higher income,Strongly agree,Strongly agree,Strongly agree,Strongly agree,NA,NA,NA,NA,Fairly happy,NA,Neither satisfied nor dissatisfied,No,Worked full-time,Stayed home,Worked part-time,Worked part-time,Worked full-time,Worked full-time,Worked part-time,Worked part-time,Work full-time,2 persons,4 children,1 child,7,5,No formal qualification,30,Female,33,"Marr,liv as mar",NA,4,No formal qualification,NA,NA,NA,Incomplete primary,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Housewife,home duties",NA,NA,NA,NA,NA,NA,"P-t empl,main job",Bakers+confectionary makers,NA,NA,240,7,NA,"No party,no preference",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Roman Catholic,Roman Catholic,2 or 3 times a month,NA,NA,NA,NA,North East,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Urban,a big city","Other,mixed origin,one-non-swedish",NA,1
GESIS Data Archive Study Number,1.1.0 (2013-03-04),35000223,Brazil (BR),BR,Neither agree nor disagree,Agree,Agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Work full-time,Work part-time,Work part-time,Work full-time,Strongly agree,Disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,We pool all the money,"Always me,PL:the woman","Always me,PL:the woman","Always me,PL:the woman","Always me,PL:the woman","Always me,PL:the woman","Always me,PL:the woman",60,96,I do roughly my fair share,Never,We decide together,We decide together,We decide together,We have about the same income,Strongly agree,Agree,Agree,Agree,Never,Never,Never,Never,Very unhappy,NA,Fairly satisfied,No,Stayed home,Stayed home,Stayed home,Stayed home,Worked full-time,Worked full-time,Worked full-time,Worked full-time,Work full-time,3 persons,1 child,NA,4,12,No formal qualification,NA,Female,68,"Marr,liv as mar",NA,2,No formal qualification,NA,NA,NA,Incomplete primary,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Retired,NA,NA,NA,NA,NA,NA,Retired,Field crop and vegetable growers,NA,240,480,4,NA,"No party,no preference",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Roman Catholic,Roman Catholic,Sev times a year,NA,NA,NA,NA,North East,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Country village,"Other,mixed origin,one-non-swedish",NA,1
GESIS Data Archive Study Number,1.1.0 (2013-03-04),35000225,Brazil (BR),BR,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Work full-time,Work full-time,Work full-time,Work full-time,Neither agree nor disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,"Spouse,partner manages money",Done by a third person,Done by a third person,"Usually me,PL:the woman","Always me,PL:the woman","Always me,PL:the woman","Always me,PL:the woman",30,96,I do a bit less than my fair share,"Less often, rarely","Mostly my spouse,partner","Mostly my spouse,partner","Mostly my spouse,partner",Spouse has much higher income,Strongly agree,Strongly agree,Strongly agree,NA,NA,NA,NA,NA,Fairly happy,NA,Very satisfied,"Yes, she worked for pay",Stayed home,Stayed home,Stayed home,Stayed home,NA,NA,NA,NA,Work full-time,3 persons,2 children,NA,5,3,Lowest formal qualification,60,Female,38,"Marr,liv as mar",NA,3,No formal qualification,NA,NA,NA,Incomplete primary,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Housewife,home duties",NA,NA,NA,NA,NA,NA,"F-t empl,main job","Car, taxi and van drivers",NA,50,400,5,NA,"No party,no preference",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Roman Catholic,Roman Catholic,Once a week,NA,NA,NA,NA,North East,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Country village,"Europe,White/European",NA,1
GESIS Data Archive Study Number,1.1.0 (2013-03-04),35000227,Brazil (BR),BR,Agree,Strongly agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Work full-time,Work full-time,Work full-time,Work full-time,Neither agree nor disagree,Neither agree nor disagree,Disagree,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,"Spouse,partner manages money","Always me,PL:the woman","Always my spouse,partner,PL:the man","Always me,PL:the woman",About equal o both together,"Always me,PL:the woman","Always me,PL:the woman",95,20,I do roughly my fair share,Several times a year,We decide together,We decide together,We decide together,I have no income,Strongly agree,Strongly disagree,NA,Strongly disagree,NA,NA,NA,NA,Very happy,NA,Very satisfied,No,Stayed home,Stayed home,Stayed home,Stayed home,Worked full-time,Worked full-time,Worked full-time,Worked full-time,Work full-time,2 persons,1 child,1 child,4,2,No formal qualification,60,Female,28,"Marr,liv as mar",NA,6,No formal qualification,NA,NA,NA,Incomplete primary,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Studt,school,vocat.trng",NA,NA,NA,NA,NA,NA,"F-t empl,main job",NA,NA,NA,320,4,NA,"No party,no preference",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Roman Catholic,Roman Catholic,Once a week,NA,NA,NA,NA,North East,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Urban,a big city","Europe,White/European",NA,1
GESIS Data Archive Study Number,1.1.0 (2013-03-04),35000228,Brazil (BR),BR,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Disagree,Disagree,Strongly agree,Strongly agree,Strongly disagree,Agree,Work full-time,Work full-time,Work full-time,Work full-time,Neither agree nor disagree,Strongly disagree,Strongly agree,Strongly disagree,Neither agree nor disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,I manage all the money,"Always my spouse,partner,PL:the man","Always me,PL:the woman","Always my spouse,partner,PL:the man","Always my spouse,partner,PL:the man","Always my spouse,partner,PL:the man","Always my spouse,partner,PL:the man",96,NA,I do much less than my fair share,Several times a month,We decide together,We decide together,We decide together,Spouse has no income,Agree,Agree,Agree,Agree,Several times a month,Several times a month,Several times a month,Several times a month,Fairly happy,Very satisfied,Very satisfied,No,Worked full-time,Worked full-time,Worked full-time,Worked full-time,Stayed home,Stayed home,Stayed home,Stayed home,Work full-time,2 persons,NA,NA,2,1,No formal qualification,NA,Male,56,"Marr,liv as mar",NA,1,No formal qualification,NA,NA,NA,Incomplete primary,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Employed-full time,44,9152,Work f government,NA,"No,do n supervise",NA,"Housewife,home duties",NA,NA,300,300,2,NA,"No party,no preference",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Roman Catholic,Roman Catholic,Once a month,NA,NA,NA,NA,North East,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Urban,a big city","Black/African/Carribean,No-Spanish",NA,1
GESIS Data Archive Study Number,1.1.0 (2013-03-04),35000229,Brazil (BR),BR,Disagree,Strongly disagree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Work full-time,Stay at home,Work full-time,Work full-time,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,"Spouse,partner manages money","Always me,PL:the woman","Usually my spouse,partner,PL:the man","Always me,PL:the woman","Always me,PL:the woman","Always me,PL:the woman","Always me,PL:the woman",70,96,I do much more than my fair share,"Less often, rarely",We decide together,We decide together,We decide together,I have no income,Strongly agree,Strongly agree,Strongly agree,Strongly agree,NA,NA,NA,NA,Very happy,NA,Very satisfied,No,Stayed home,Stayed home,Stayed home,Stayed home,Worked full-time,Worked full-time,Worked full-time,Worked full-time,Work full-time,2 persons,NA,2 children,4,2,No formal qualification,NA,Female,20,"Marr,liv as mar",NA,7,No formal qualification,NA,NA,NA,Incomplete primary,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Housewife,home duties",NA,NA,NA,NA,NA,NA,"F-t empl,main job",NA,NA,NA,240,4,NA,"No party,no preference",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Roman Catholic,Roman Catholic,Once a week,NA,NA,NA,NA,North East,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Urban,a big city","Europe,White/European",NA,1
GESIS Data Archive Study Number,1.1.0 (2013-03-04),35000233,Brazil (BR),BR,Strongly disagree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Agree,Work full-time,Stay at home,Work full-time,Work full-time,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Strongly agree,Neither agree nor disagree,NA,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,"Spouse,partner manages money",Done by a third person,"Always my spouse,partner,PL:the man",NA,"Always my spouse,partner,PL:the man",Done by a third person,Done by a third person,NA,96,I do a bit less than my fair share,"Less often, rarely",We decide together,We decide together,We decide together,We have about the same income,Neither agree nor disagree,Strongly agree,NA,NA,NA,NA,NA,NA,Very happy,NA,Very satisfied,"Yes, she worked for pay",Stayed home,Stayed home,Stayed home,Stayed home,NA,NA,NA,NA,Work full-time,3 persons,NA,NA,3,6,No formal qualification,NA,Female,53,"Marr,liv as mar",NA,97,No formal qualification,NA,NA,NA,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Housewife,home duties",NA,NA,NA,NA,NA,NA,Retired,"Street vendors, non-food products",NA,NA,240,3,NA,"No party,no preference",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Roman Catholic,Roman Catholic,2 or 3 times a month,NA,NA,NA,NA,North East,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Country village,"American Indian,Navajo,Ind.Dialect",NA,1
GESIS Data Archive Study Number,1.1.0 (2013-03-04),35000235,Brazil (BR),BR,Agree,Strongly agree,Agree,Agree,Agree,Agree,Strongly agree,Agree,Agree,Agree,Work full-time,Work full-time,Work full-time,Work full-time,Strongly agree,Strongly disagree,Strongly agree,Agree,Strongly disagree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,We pool all the money,"Always my spouse,partner,PL:the man","Always me,PL:the woman","Always my spouse,partner,PL:the man","Always me,PL:the woman","Always my spouse,partner,PL:the man","Always my spouse,partner,PL:the man",NA,NA,I do much less than my fair share,"Less often, rarely",We decide together,We decide together,We decide together,Spouse has higher income,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Several times a month,Several times a month,Several times a month,Several times a month,Very happy,Very satisfied,Very satisfied,"Yes, she worked for pay",Worked full-time,Worked full-time,Worked full-time,Worked full-time,Worked full-time,Worked full-time,Worked full-time,Worked full-time,Work full-time,3 persons,NA,NA,3,1,University degree completed,NA,Male,59,"Marr,liv as mar",NA,4,No formal qualification,NA,NA,NA,Incomplete primary,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Employed-full time,40,3114,Self employed,NA,NA,NA,"F-t empl,main job",Primary educ.teaching prof,NA,200,1400,3,NA,"No party,no preference",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Roman Catholic,Roman Catholic,Once a month,NA,NA,NA,NA,North East,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Urban,a big city","Black/African/Carribean,No-Spanish",NA,1
GESIS Data Archive Study Number,1.1.0 (2013-03-04),35000241,Brazil (BR),BR,Neither agree nor disagree,Strongly agree,Agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Work full-time,Work full-time,Work full-time,Work full-time,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,I manage all the money,"Usually my spouse,partner,PL:the man",Done by a third person,"Usually my spouse,partner,PL:the man","Always me,PL:the woman","Usually my spouse,partner,PL:the man","Always my spouse,partner,PL:the man",96,NA,NA,"Less often, rarely",We decide together,We decide together,"Mostly my spouse,partner",Spouse has no income,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Strongly agree,Once or twice a year,Once or twice a year,Once or twice a year,Once or twice a year,Very happy,NA,Very satisfied,No,NA,NA,NA,NA,NA,NA,NA,NA,Work full-time,2 persons,NA,NA,2,NA,No formal qualification,NA,Male,67,"Marr,liv as mar",NA,1,No formal qualification,NA,NA,NA,Incomplete primary,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Retired,NA,NA,NA,NA,NA,NA,"Housewife,home duties",NA,NA,240,240,2,NA,Far left etc,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pentecostal,Protestant,Once a week,NA,NA,NA,NA,North East,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Country village,"Black/African/Carribean,No-Spanish",NA,1
GESIS Data Archive Study Number,1.1.0 (2013-03-04),35000244,Brazil (BR),BR,Neither agree nor disagree,Strongly agree,Agree,Agree,Agree,Agree,Strongly agree,Agree,Strongly disagree,Strongly agree,Work full-time,Work full-time,Work full-time,Stay at home,Strongly disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,"Spouse,partner manages money","Always me,PL:the woman","Always my spouse,partner,PL:the man",Done by a third person,"Always my spouse,partner,PL:the man","Always me,PL:the woman","Always me,PL:the woman",30,96,I do roughly my fair share,"Less often, rarely",We decide together,We decide together,We decide together,I have a higher income,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Several times a week,Several times a week,Several times a month,Several times a week,Very happy,Very satisfied,Very satisfied,"Yes, she worked for pay",NA,NA,NA,NA,NA,NA,NA,NA,Work full-time,2 persons,NA,NA,2,NA,Above higher secondary level,30,Female,24,"Marr,liv as mar",NA,11,Higher secondary completed,NA,NA,NA,Secondary completed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Employed-full time,44,3415,Self employed,NA,NA,NA,"P-t empl,main job",Data entry operators,NA,120,480,2,NA,"No party,no preference",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Roman Catholic,Roman Catholic,Once a month,NA,NA,NA,NA,North East,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Urban,a big city","Other,mixed origin,one-non-swedish",NA,1
GESIS Data Archive Study Number,1.1.0 (2013-03-04),35000245,Brazil (BR),BR,Agree,Strongly agree,Neither agree nor disagree,Agree,Agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Work full-time,Work full-time,Work full-time,Work part-time,Disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,I manage all the money,"Always my spouse,partner,PL:the man","Usually me,PL:the woman",Done by a third person,"Always me,PL:the woman","Always my spouse,partner,PL:the man","Always my spouse,partner,PL:the man",NA,NA,I do much less than my fair share,"Less often, rarely",We decide together,We decide together,We decide together,Spouse has no income,Neither agree nor disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Several times a week,Several times a week,Several times a week,Several times a week,Very happy,Very satisfied,Very satisfied,"Yes, she worked for pay",Worked full-time,Worked full-time,Worked full-time,Worked full-time,Stayed home,Stayed home,Stayed home,Stayed home,Work full-time,2 persons,3 children,NA,5,3,No formal qualification,NA,Male,34,"Marr,liv as mar",NA,5,No formal qualification,NA,NA,NA,Incomplete primary,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Employed-full time,NA,8321,Self employed,NA,NA,NA,"Housewife,home duties",NA,NA,400,400,5,NA,"Center,liberal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Roman Catholic,Roman Catholic,Sev times a year,NA,NA,NA,NA,North East,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Urban,a big city","Europe,White/European",NA,1
